ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor,Percentage_Good,Percentage_Fair,Percentage_Poor,Area_Percentage_Good,Area_Percentage_Fair,Area_Percentage_Poor,Total_Tunnel ,Tunnel_Condition_Good,Tunnel_Condtion_Fair,Tunnel_Condition_Poor,Tunnel_Condition_Severe,Tunnel_Percentage_Good,Tunnel_Percentage_Fair,Tunnel_Percentage_Poor,Tunnel_Percentage_Severe,Road_Total,Road_Not_Reported,Road_Road_Good_below95,Road_Fair_95to170,Road_Poor_above170,Road_NotReported_Percentage,Road_Good_Percentage,Road_Fair_Percentage,Road_Poor_Percentage
6,2011,COLORADO,8551,4319,3713,519,4728436,2619311,1801289,307836,0.505087124,0.43421822,0.060694656,0.553948705,0.380948161,0.065103133,,,,,,,,,,,,,,,,,,
7,2011,CONNECTICUT,4200,1437,2376,387,3278853,741293,2020785,516775,0.342142857,0.565714286,0.092142857,0.226083024,0.616308508,0.157608469,,,,,,,,,,,,,,,,,,
8,2011,DELAWARE,857,314,493,50,886595,244747,582541,59308,0.366394399,0.575262544,0.058343057,0.276052764,0.657054236,0.066894129,,,,,,,,,,,,,,,,,,
9,2011,DIST. OF COL.,245,39,173,33,548534,34640,381128,132767,0.159183673,0.706122449,0.134693878,0.063150142,0.69481199,0.242039691,,,,,,,,,,,,,,,,,,
10,2011,FLORIDA,11986,8584,3137,263,15947295,11264520,4189791,491662,0.716168864,0.261722009,0.021942266,0.706359292,0.262727378,0.030830432,,,,,,,,,,,,,,,,,,
11,2011,GEORGIA,14694,7377,6616,701,8983388,5057301,3643772,282314,0.50204165,0.450251803,0.047706547,0.562961435,0.405612226,0.031426228,,,,,,,,,,,,,,,,,,
12,2011,HAWAII,1132,354,705,73,1309322,348396,939298,21627,0.312720848,0.622791519,0.064487633,0.266088861,0.717392666,0.016517709,,,,,,,,,,,,,,,,,,
13,2011,IDAHO,4164,1161,2662,341,1617191,343370,1151144,122678,0.278818444,0.639289145,0.081892411,0.212324951,0.711816972,0.075858696,,,,,,,,,,,,,,,,,,
14,2011,ILLINOIS,26436,15293,8899,2236,12700113,5752488,5692560,1252546,0.578491451,0.3366243,0.084581631,0.452947781,0.448229083,0.098624792,,,,,,,,,,,,,,,,,,
15,2011,INDIANA,18640,7908,8802,1929,7602822,3247531,3579241,775946,0.424248927,0.4722103,0.103487124,0.427148104,0.470777956,0.102060261,,,,,,,,,,,,,,,,,,
16,2011,IOWA,24537,9566,9982,4962,7918241,3565702,3398752,950474,0.389860211,0.406814199,0.202225211,0.450314912,0.429230684,0.120036003,,,,,,,,,,,,,,,,,,
17,2011,KANSAS,25233,14161,9211,1858,8017130,5457084,2248553,310858,0.561209527,0.365037847,0.073633734,0.680677998,0.280468572,0.038774225,,,,,,,,,,,,,,,,,,
18,2011,KENTUCKY,13948,5821,6979,1146,5814431,2534743,2910068,369043,0.417335819,0.500358474,0.082162317,0.435939991,0.50049059,0.063470183,,,,,,,,,,,,,,,,,,
19,2011,LOUISIANA,13153,7158,4529,1447,15459876,8401407,5822006,1230176,0.544210446,0.344332092,0.110012925,0.543433013,0.376588143,0.079572178,,,,,,,,,,,,,,,,,,
20,2011,MAINE,2402,784,1275,342,1203588,481002,564389,157595,0.326394671,0.53080766,0.142381349,0.399640076,0.46892209,0.130937663,,,,,,,,,,,,,,,,,,
21,2011,MARYLAND,5214,1797,3072,344,4850337,1323808,3287094,238634,0.344649022,0.589182969,0.065976218,0.272931139,0.67770425,0.049199468,,,,,,,,,,,,,,,,,,
22,2011,MASSACHUSETTS,5099,1525,3066,504,3995325,960727,2397954,635461,0.299078251,0.601294371,0.09884291,0.240462791,0.600189972,0.159051141,,,,,,,,,,,,,,,,,,
23,2011,MICHIGAN,10957,4598,5020,1336,6200619,2262028,3340367,597998,0.419640413,0.458154604,0.121931186,0.364806804,0.538715086,0.096441662,,,,,,,,,,,,,,,,,,
