ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
40,2013, Rhode Island ,766,141,458,167,780819,150558,478556,151705
41,2013, South Carolina ,9275,4201,4177,897,6592414,3106656,2988746,497012
42,2013, South Dakota ,5875,1882,2886,1107,1661593,397397,1070074,194121
43,2013, Tennessee ,20058,10095,8893,1067,9460965,4272682,4694113,493889
44,2013, Texas ,52561,28122,23518,920,44732496,23835649,20227341,669506
45,2013, Utah ,2974,1727,1140,107,1901763,1109848,760150,31764
46,2013, Vermont ,2731,1396,1189,146,845943,420099,375115,50729
47,2013, Virginia ,13765,4813,7884,1068,9377546,3403984,5457970,515593
48,2013, Washington ,7902,4179,3373,350,6967018,2656360,3709274,601384
49,2013, West Virginia ,7125,3380,2842,903,3699838,1483423,1932474,283940
50,2013, Wisconsin ,14088,7566,5470,1052,6517870,3308866,2854393,354612
51,2013, Wyoming ,3099,734,1946,419,1250112,159659,884782,205672
52,2013, Puerto Rico ,2280,433,1556,290,2221352,565710,1436386,219118
53,2013, Totals ,607751,287581,265456,54492,362428004,162033650,173820990,26380569
1,2014, Alabama ,16088,7210,8095,783,9106533,3716215,5123841,266477
2,2014, Alaska ,1544,718,673,150,706252,298050,332405,75540
3,2014, Arizona ,8035,4860,2952,223,4965164,2480124,2289071,195969
4,2014, Arkansas ,12806,7016,5183,607,6108972,3083705,2709626,315641
5,2014, California ,25406,11104,11913,2388,28955537,10382961,15276920,3241083
6,2014, Colorado ,8668,4022,4174,470,4877734,2617998,2029663,229908
7,2014, Connecticut ,4218,1363,2479,376,3275350,622910,2055939,596502
8,2014, Delaware ,865,268,549,48,965247,174471,736219,54557
9,2014, Dist. Of Col. ,253,67,172,14,558645,87693,431303,39649
10,2014, Florida ,12137,8575,3342,219,16358157,11159400,4831230,366363
11,2014, Georgia ,14795,7051,7122,622,9196105,4658645,4279586,257874
12,2014, Hawaii ,1137,486,581,59,1389453,417881,879437,18605
13,2014, Idaho ,4431,1238,2829,364,1690301,404520,1165731,120049
14,2014, Illinois ,26588,14698,9776,2114,12862066,5366291,6246625,1249149
15,2014, Indiana ,19019,7813,9408,1796,7753038,3328130,3810984,613077
16,2014, Iowa ,24300,9396,10204,4691,8152321,3613575,3665392,867977
17,2014, Kansas ,25085,13995,9458,1631,8129881,5508772,2350597,270451
18,2014, Kentucky ,14194,5719,7407,1066,5929697,2455839,3196177,276928
19,2014, Louisiana ,12982,6833,4536,1609,16374497,8136413,6744716,1492560
20,2014, Maine ,2419,766,1306,346,1208666,462022,627327,114026
21,2014, Maryland ,5305,1809,3191,305,5103371,1462757,3464383,176231
22,2014, Massachusetts ,5141,1500,3195,446,4027932,949485,2561300,517147
23,2014, Michigan ,11072,4718,5093,1251,6291870,2337133,3397291,554313
24,2014, Minnesota ,12961,8088,4062,802,6171889,3418338,2449899,297085
25,2014, Mississippi ,17091,11180,4304,1604,8907029,6047341,2437735,421134
26,2014, Missouri ,24385,11451,10855,2079,10288406,4749078,4705429,833900
27,2014, Montana ,5251,2034,2933,284,1984553,626217,1218367,139970
28,2014, Nebraska ,15374,7944,5687,1731,3952000,2359697,1339741,251421
29,2014, Nevada ,1898,1078,790,30,1577345,907317,655786,14242
30,2014, New Hampshire ,2467,1312,895,260,1105496,619410,390566,95520
